IATA_CODE,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,LOAD_TIMESTAMP,AIRPORT_SIZE_CATEGORY,REGION,CONTINENT_GROUP,LOCATION_VALIDATION,RECORD_YEAR
GUC,Gunnison,CO,USA,38.53396,-106.93318,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GUM,Agana,GU,USA,13.48345,-144.79598,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
HDN,Hayden,CO,USA,40.48118,-107.21766,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
HIB,Hibbing,MN,USA,47.3866,-92.83899,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
HLN,Helena,MT,USA,46.60682,-111.98275,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
HNL,Honolulu,HI,USA,21.31869,-157.92241,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
HOB,Hobbs,NM,USA,32.68753,-103.21703,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
HOU,Houston,TX,USA,29.64542,-95.27889,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
HPN,White Plains,NY,USA,41.06696,-73.70757,2025-11-26 03:35:24.903 -0800,MEDIUM,NORTHEAST,NORTH_AMERICA,VALID,2025
HRL,Harlingen,TX,USA,26.22851,-97.65439,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
HSV,Huntsville,AL,USA,34.64045,-86.77311,2025-11-26 03:35:24.903 -0800,REGIONAL,SOUTH,NORTH_AMERICA,VALID,2025
HYA,Hyannis,MA,USA,41.66934,-70.28036,2025-11-26 03:35:24.903 -0800,REGIONAL,NORTHEAST,NORTH_AMERICA,VALID,2025
HYS,Hays,KS,USA,38.84494,-99.27403,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
IAD,Chantilly,VA,USA,38.94453,-77.45581,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
