DATE_SK,YEAR,MONTH,DAY
adf32435e86a29e3156cc085ac241c64,2015,12,4
7d63aa806c445774fcda1dd2fb2a7f65,2015,12,5
9cf7f4db0752b1d470ecdb87ab787ca2,2015,12,6
cc485a056628c87c8d9d5f8697b83ccd,2015,12,7
3c97bdbec29ef14be84a4daa7a0e1e6c,2015,12,8
423429d619c35372ed4f769e81e9b48f,2015,12,9
284e9cbe899b8232ad2a029eea6b1dcf,2015,12,10
353a7856365a1abeff43d47f4e3772d7,2015,12,11
e089ef614d3e54e8ead18fa85adb8a26,2015,12,12
a46b9524debef212468e61e76aae2a52,2015,12,13
5006b0d59c1763d7db09b3f368be3fe8,2015,12,14
96a55535fdbd7149b62bfaefd8554caf,2015,12,15
4cd37cfe9343048668b41c94d350d2f7,2015,12,16
7ee31dde1642590d2045551947829dc0,2015,12,17
2d82a826040e7245c4893bcc2e093fb0,2015,12,18
376a7cedf464c69162bda2447d635923,2015,12,19
32a5ec5440ce2b8fa7d1b177afedab02,2015,12,20
826dad52720be0e24d1470bdec5c7707,2015,12,21
1d9bca0c3183755226e7a1e6c592b69d,2015,12,22
448ebae9ead2a89f494a7d780c36f148,2015,12,23
1e286cd1376afe7f8941fbe658975f0e,2015,12,24
c05eaf0c7b4b7fae6241df333ec5587b,2015,12,25
9eb3ffd9eb62666b9999c8f130e50d6e,2015,12,26
b4cb23898893fbf7fc25f9c11540443d,2015,12,27
b5f89693d64ed9a4891eb92d2e0b0dec,2015,12,28
edf0b7c716ad362d960e07f9abf1eda9,2015,12,29
23960871caef6b026f7c5d5a479e1750,2015,12,30
2c104ab806eff55260fb40486d0ded23,2015,12,31
