DATE_SK,AIRLINE_SK,ORIGIN_AIRPORT_SK,DESTINATION_AIRPORT_SK,DEPARTURE_DELAY,ARRIVAL_DELAY,TOTAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DISTANCE,CANCELLED,DIVERTED,ON_TIME_FLAG,LOAD_TIMESTAMP,FLIGHT_DATE
7eb78036004e735c5fd01175d35ece0a,3943d8795e03e8e3307b5b71eac1b669,9387814d5bd4eb6a3dcb59480ff7165f,02cc65e6314cfbfc8d6c50ebf876fca7,-1,6,5,0.00000,0.00000,0.00000,0.00000,0.00000,1585,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,9387814d5bd4eb6a3dcb59480ff7165f,fdb45b3999a9b295cad4ce7182e47d9a,-3,20,17,20.00000,0.00000,0.00000,0.00000,0.00000,1129,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,edb65fd3d096354a2ce9630ddbad8e67,e938c5bbd29de26c3a600a0330465f8b,-14,-16,-30,0.00000,0.00000,0.00000,0.00000,0.00000,1674,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,edb65fd3d096354a2ce9630ddbad8e67,fdb45b3999a9b295cad4ce7182e47d9a,95,85,180,0.00000,0.00000,85.00000,0.00000,0.00000,1189,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,9387814d5bd4eb6a3dcb59480ff7165f,fdb45b3999a9b295cad4ce7182e47d9a,4,-7,-3,0.00000,0.00000,0.00000,0.00000,0.00000,1129,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,6f0862d55fca52dbe032fa0b99e9c6b5,fdb45b3999a9b295cad4ce7182e47d9a,-11,-1,-12,0.00000,0.00000,0.00000,0.00000,0.00000,1179,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,edb65fd3d096354a2ce9630ddbad8e67,46187049a76c83031dd5abad6290a90f,72,89,161,17.00000,0.00000,72.00000,0.00000,0.00000,1666,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,7516fd43adaa5e0b8a65a672c39845d2,c23431d0209648a6b31fa837dd56d681,1375575710990aaefeb0228d672c5521,-1,3,2,0.00000,0.00000,0.00000,0.00000,0.00000,1440,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,0d403b92007a67a497861f00465d565c,9abd3d9b983e99aa1fd94837498b0bea,-4,0,-4,0.00000,0.00000,0.00000,0.00000,0.00000,224,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,594c16ca0695f6665d7cf4971707adf6,a5bc417468d5c8c378672f6bdd2e0c90,9159db7c15fc9abe7a0fdde8bb6167fb,-8,-6,-14,0.00000,0.00000,0.00000,0.00000,0.00000,216,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,e48bf9dad3f5d442f9d14d931be6f43e,81a634c8428d49490d850ac61dcd055b,f3b69be0f57a9519705082d49cc75ed6,13,9,22,0.00000,0.00000,0.00000,0.00000,0.00000,363,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,594c16ca0695f6665d7cf4971707adf6,a5bc417468d5c8c378672f6bdd2e0c90,9eeaaaa451ec708eb642c7279e2df690,-1,5,4,0.00000,0.00000,0.00000,0.00000,0.00000,163,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,00a25a0eed961a97a2a312ed96b66a23,9abd3d9b983e99aa1fd94837498b0bea,-8,-14,-22,0.00000,0.00000,0.00000,0.00000,0.00000,1448,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,594c16ca0695f6665d7cf4971707adf6,a5bc417468d5c8c378672f6bdd2e0c90,e94afc367f47e1aaf16533e4ecbc8716,-11,-11,-22,0.00000,0.00000,0.00000,0.00000,0.00000,100,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3943d8795e03e8e3307b5b71eac1b669,c23431d0209648a6b31fa837dd56d681,16398053b0ee1ac75460202a32bee818,4,11,15,0.00000,0.00000,0.00000,0.00000,0.00000,925,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,fdb45b3999a9b295cad4ce7182e47d9a,637d536065e18d89c0f1c21fce509ce1,-3,-11,-14,0.00000,0.00000,0.00000,0.00000,0.00000,192,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,e938c5bbd29de26c3a600a0330465f8b,b46e678fc5474ec8216c5e3f4e9d327c,-4,-10,-14,0.00000,0.00000,0.00000,0.00000,0.00000,738,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,e48bf9dad3f5d442f9d14d931be6f43e,788f33204f4b83b5635d8a92da7bbb5c,4b6544406098f683478fca26b2589e6d,-10,0,-10,0.00000,0.00000,0.00000,0.00000,0.00000,174,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
